"77","TN-14","Tata NEXON","2017","69430","PETROL","Manual","707000"
"78","MH-01","Maruti Baleno","2016","68815","PETROL","Automatic","584000"
"79","MH-12","Maruti Baleno","2016","64759","PETROL","Manual","545000"
"80","DL-9C","Maruti Wagon R 1.0","2016","40417","PETROL","Automatic","401000"
"81","TS-07","Maruti Baleno","2018","68101","PETROL","Manual","691000"
"82","KL-45","Honda City","2019","64853","PETROL","Manual","338000"
"83","UP-14","Mahindra KUV 100 NXT","2017","51642","DIESEL","Manual","507000"
"84","WB-90","Maruti Alto K10","2018","24502","PETROL","Manual","293000"
"85","TS-07","Hyundai Elite i20","2016","60350","PETROL","Manual","629000"
"86","PB-10","Maruti Alto 800","2014","71000","PETROL","Manual","234000"
"87","KA-01","Toyota YARIS","2021","66161","PETROL","Manual","662000"
"88","UP-32","Maruti Wagon R 1.0","2015","64154","PETROL","Manual","325000"
"89","GJ-01","Mahindra XUV 3OO","2020","21270","DIESEL","Automatic","1064000"
"90","AP-23","Hyundai Santro Xing","2010","90382","PETROL","Manual","205000"
"91","KA-02","Honda City","2018","49423","PETROL","Manual","810000"
"92","KL-41","Hyundai Elite i20","2016","47227","PETROL","Manual","588000"
"93","PB-70","Renault TRIBER","2021","24236","PETROL","Manual","677000"
"94","UP-14","Hyundai Tucson New","2018","86933","PETROL","Manual","1221000"
"95","TN-09","Mahindra TUV300","2017","58157","DIESEL","Manual","817000"
"96","MH-01","Toyota Glanza","2020","35636","PETROL","Automatic","809000"
"97","MH-03","Maruti Ciaz","2017","45639","PETROL","Manual","428000"
"98","DL-1C","Honda City","2016","53355","PETROL","Manual","678000"
"99","MP-09","Maruti Baleno","2017","88993","PETROL","Automatic","619000"
"100","KL-01","Maruti Eeco","2022","2075","CNG","Manual","552000"
