"Alandis","M","1989","1","164"
"Alando","M","1989","2","163"
"Alanmichael","M","1989","12","153"
"Alanna","M","1989","3","162"
"Alante","M","1989","9","156"
"Alanzo","M","1989","2","163"
"Alaric","M","1989","14","151"
"Alasdair","M","1989","1","164"
"Alastair","M","1989","14","151"
"Alax","M","1989","4","161"
"Alaxander","M","1989","1","164"
"Alban","M","1989","5","160"
"Albaro","M","1989","15","150"
"Alben","M","1989","1","164"
"Albert","M","1989","149","16"
"Alberto","M","1989","145","20"
"Albin","M","1989","7","158"
"Albino","M","1989","6","159"
"Alcario","M","1989","1","164"
"Alcides","M","1989","7","158"
"Aldair","M","1989","1","164"
"Alden","M","1989","68","97"
"Aldo","M","1989","101","64"
"Aldon","M","1989","8","157"
"Aldric","M","1989","2","163"
"Aldrick","M","1989","3","162"
"Aldrin","M","1989","4","161"
"Alec","M","1989","132","33"
"Aleck","M","1989","2","163"
"Aleczander","M","1989","5","160"
"Alee","M","1989","4","161"
"Aleem","M","1989","5","160"
"Alegandro","M","1989","6","159"
"Alejandr","M","1989","4","161"
"Alejandra","M","1989","14","151"
"Alejandro","M","1989","150","15"
"Alejo","M","1989","8","157"
"Alek","M","1989","50","115"
"Aleksandar","M","1989","11","154"
"Aleksander","M","1989","22","143"
"Aleksandr","M","1989","8","157"
"Alen","M","1989","16","149"
"Alesandro","M","1989","1","164"
"Alesha","M","1989","2","163"
"Alessand","M","1989","1","164"
"Alessandro","M","1989","66","99"
"Alessio","M","1989","4","161"
"Alex","M","1989","157","8"
"Alexa","M","1989","1","164"
"Alexandar","M","1989","9","156"
"Alexande","M","1989","114","51"
"Alexander","M","1989","159","6"
"Alexandr","M","1989","11","154"
"Alexandra","M","1989","73","92"
"Alexandre","M","1989","73","92"
"Alexandria","M","1989","22","143"
"Alexandro","M","1989","76","89"
"Alexandros","M","1989","25","140"
"Alexandru","M","1989","1","164"
"Alexavier","M","1989","1","164"
"Alexei","M","1989","4","161"
"Alexi","M","1989","18","147"
"Alexie","M","1989","1","164"
"Alexis","M","1989","129","36"
"Alexsander","M","1989","9","156"
"Alexx","M","1989","9","156"
"Alexzander","M","1989","19","146"
"Alez","M","1989","3","162"
"Alferdo","M","1989","1","164"
"Alfie","M","1989","1","164"
"Alfonso","M","1989","126","39"
"Alfonza","M","1989","10","155"
"Alfonzo","M","1989","63","102"
"Alford","M","1989","5","160"
"Alfred","M","1989","133","32"
"Alfredo","M","1989","142","23"
"Algernon","M","1989","14","151"
"Algie","M","1989","2","163"
"Alhassan","M","1989","3","162"
"Ali","M","1989","120","45"
"Alias","M","1989","3","162"
"Alice","M","1989","10","155"
"Alicia","M","1989","33","132"
"Alijah","M","1989","2","163"
"Alika","M","1989","6","159"
"Alim","M","1989","5","160"
"Alireza","M","1989","3","162"
"Alisha","M","1989","16","149"
"Alison","M","1989","23","142"
"Alissa","M","1989","2","163"
"Alistair","M","1989","12","153"
"Alister","M","1989","3","162"
"Alix","M","1989","18","147"
"Allah","M","1989","1","164"
"Allan","M","1989","131","34"
"Allanmichael","M","1989","2","163"
"Allante","M","1989","26","139"
"Allen","M","1989","153","12"
"Allenmichael","M","1989","6","159"
"Allex","M","1989","1","164"
"Allexander","M","1989","1","164"
"Allison","M","1989","27","138"
"Allister","M","1989","11","154"
"Allyn","M","1989","17","148"
"Alma","M","1989","20","145"
"Almando","M","1989","3","162"
"Almon","M","1989","4","161"
"Alok","M","1989","4","161"
"Alon","M","1989","18","147"
"Alonso","M","1989","81","84"
"Alonte","M","1989","12","153"
"Alonza","M","1989","13","152"
"Alonzo","M","1989","122","43"
"Aloysius","M","1989","11","154"
"Alpha","M","1989","8","157"
"Alphonse","M","1989","20","145"
"Alphonso","M","1989","90","75"
"Alphonzo","M","1989","12","153"
"Alquan","M","1989","2","163"
"Alric","M","1989","3","162"
"Alrick","M","1989","1","164"
"Alston","M","1989","20","145"
"Alton","M","1989","99","66"
"Altonio","M","1989","2","163"
"Alva","M","1989","12","153"
"Alvan","M","1989","4","161"
"Alvarez","M","1989","2","163"
"Alvaro","M","1989","116","49"
"Alverto","M","1989","3","162"
"Alvie","M","1989","5","160"
"Alvin","M","1989","139","26"
"Alvino","M","1989","10","155"
"Alvis","M","1989","12","153"
