"Aija","F","1989","1","826"
"Aiko","F","1989","4","823"
"Aila","F","1989","4","823"
"Aileen","F","1989","139","597"
"Ailene","F","1989","1","826"
"Aili","F","1989","2","825"
"Ailsa","F","1989","2","825"
"Ailyn","F","1989","1","826"
"Aime","F","1989","15","812"
"Aimee","F","1989","197","256"
"Aimie","F","1989","8","819"
"Aimy","F","1989","3","824"
"Aina","F","1989","1","826"
"Aine","F","1989","8","819"
"Ainslee","F","1989","10","817"
"Ainsley","F","1989","65","757"
"Ainslie","F","1989","3","824"
"Aira","F","1989","2","825"
"Airam","F","1989","2","825"
"Aireal","F","1989","3","824"
"Airel","F","1989","5","822"
"Airelle","F","1989","18","809"
"Airica","F","1989","2","825"
"Airiel","F","1989","4","823"
"Airielle","F","1989","1","826"
"Airika","F","1989","2","825"
"Airin","F","1989","1","826"
"Aisa","F","1989","15","812"
"Aisha","F","1989","163","495"
"Aishah","F","1989","17","810"
"Aishia","F","1989","6","821"
"Aishling","F","1989","3","824"
"Aisling","F","1989","23","804"
"Aislinn","F","1989","44","783"
"Aislynn","F","1989","11","816"
"Aissa","F","1989","24","803"
"Aixa","F","1989","8","819"
"Aiyana","F","1989","11","816"
"Aiysha","F","1989","3","824"
"Aja","F","1989","130","632"
"Ajah","F","1989","12","815"
"Ajia","F","1989","7","820"
"Akane","F","1989","2","825"
"Akasha","F","1989","8","819"
"Akea","F","1989","1","826"
"Akeelah","F","1989","3","824"
"Akeema","F","1989","2","825"
"Akeia","F","1989","3","824"
"Akeisha","F","1989","8","819"
"Akela","F","1989","5","822"
"Akelia","F","1989","3","824"
"Akemi","F","1989","5","822"
"Akera","F","1989","1","826"
"Akesha","F","1989","1","826"
"Akeshia","F","1989","2","825"
"Akhila","F","1989","1","826"
"Aki","F","1989","4","823"
"Akia","F","1989","22","805"
"Akiko","F","1989","10","817"
"Akila","F","1989","7","820"
"Akilah","F","1989","56","768"
"Akina","F","1989","2","825"
"Akira","F","1989","26","801"
"Akisha","F","1989","8","819"
"Akiya","F","1989","3","824"
"Akosua","F","1989","5","822"
"Akua","F","1989","1","826"
"Ala","F","1989","14","813"
"Alaa","F","1989","14","813"
"Alacia","F","1989","17","810"
"Alaena","F","1989","3","824"
"Alaina","F","1989","179","411"
"Alaine","F","1989","15","812"
"Alainna","F","1989","9","818"
"Alair","F","1989","1","826"
"Alan","F","1989","11","816"
